id,operating_airline,from,to,code_shares
"ff4824eb-cfae-4760-97f2-db35399b2f29","AF","DXB","BKK","DL,U2"
"bff1defd-c75e-44b6-abfc-6a678a4f00af","AF","DXB","NRT",""
"6fa1ab34-6aaa-4947-8efb-84715d2a85f1","AF","DXB","DFW","FR,V7"
"4a1c5f23-6c57-4a68-8834-2e0ff5e636ce","AF","DXB","LAS","FR"
"c4777a8f-f63d-49c3-856a-3ef17897dc40","AF","DXB","LHR",""
"93806b7c-fe3e-4e2f-beb8-82360e6e49b8","AF","DXB","SZX","DL,BA"
"e9ba51ec-fca8-4911-9336-0e6e3328036d","AF","DXB","HKG","U2,BA"
"be8ba856-a133-4367-8048-4ff3abf6a656","AF","DXB","SVO",""
"e7f0b3a8-dc72-4db5-ac3b-30f63de37593","AF","DXB","MAD",""
"a1796d0f-2647-4282-b597-c057fdf3b639","AF","DXB","MEX","V7,DL"
"a143ecca-1cf7-49fe-817e-3b9914dffca6","AF","DXB","SYD",""
"8f60885e-c32a-4ffd-9603-8858618e0e06","AF","DXB","XIY",""
"1b268b69-b434-49c0-9c2b-2f0f38c625bf","AF","DXB","CGK","V7"
"6ec4a4ac-d510-4a3b-8f73-04ac5190075e","AF","DXB","AMS",""
"d3794bd0-37f5-4e55-b0cc-b2e6f0399be7","AF","DXB","ATL",""
"cce68ce6-d30e-4fa9-b4f3-3d67ba989fcf","AF","DXB","TPE",""
"f8795265-33df-46f8-a3f9-67e9b0abc7da","AF","DXB","SFO",""
"46a762df-05b7-4f00-8e6f-108255d7e45c","AF","DXB","MCO","BA,FR"
"545b9ed9-8653-49a2-99ab-9d75bbc3be84","AF","DXB","FRA","KL"
"dcf60dbe-09d2-4932-a7c6-bd1723bb0eb5","AF","DXB","YYZ","KL"
"3d5ce2b5-058c-4f7c-8cb1-39f4b97586fb","AF","MIA","BKK",""
"72f06fd7-7ee8-4d09-8363-b14eef2f01a6","AF","MIA","NRT","FR"
"1a840982-fb61-404a-9a9a-fa005649ea87","AF","MIA","DFW",""
"dfd29186-1c8d-4576-84f8-ffb8b6c4c1fd","AF","MIA","LAS","EK,FR"
"0b20801b-e676-443d-bbb6-ead1e98a4816","AF","MIA","LHR","V7"
"a53e80a9-6e43-43de-855f-aab870b9b2e0","AF","MIA","SZX","EK,FR"
"9fcbe1bd-3667-48f8-85cf-82b11e17fc19","AF","MIA","HKG",""
"9306513e-6b46-4bae-9f0d-2b970b654b48","AF","MIA","SVO","BA"
"c687d9eb-2e8d-4a30-8221-6080a36d11e2","AF","MIA","MAD",""
"df1aa844-0d09-4a42-a418-7b2ac202597d","AF","MIA","MEX","LH,KL"
"3b9795d7-0acb-43f9-bf1d-df9f889c8192","AF","MIA","SYD",""
"d8ac3e2c-25aa-4e92-a9a8-0562ae29839a","AF","MIA","XIY","DL,U2"
"e96a4fc4-756a-4035-ad4a-6aae75feae0b","AF","MIA","CGK","U2"
"2a1d969c-cfb3-4181-aa96-bcd58897158e","AF","MIA","AMS","U2"
"8d8ef8ab-1cd2-4799-b734-bfd6dda58bdd","AF","MIA","ATL",""
"d423b4fd-10e4-4350-87eb-1b8f861f7277","AF","MIA","TPE","IB,BA"
"aa3aab33-6ba0-405f-b6c2-e6cbe24fc587","AF","MIA","SFO","FR"
"4396a97c-d49a-465f-a5e9-79afca6a7113","AF","MIA","MCO",""
"9fab7a4e-1c39-48ac-a169-8c8369e87408","AF","MIA","FRA",""
"8c99650f-1936-42f2-835b-1ad50c057bd2","AF","MIA","YYZ","IB"
"820c0f11-930f-4162-834e-04f39d385555","AF","CDG","BKK",""
"faa32f16-9122-4bd7-904b-40a16a4746b2","AF","CDG","NRT","IB"
"0ee5260d-f082-4e67-9884-f28c746a8615","AF","CDG","DFW",""
"b8cfa4a9-4301-412f-b63f-d6fec0663692","AF","CDG","LAS","BA,DL"
"f80f4c08-a78b-4a86-9804-eb58dc6c52c7","AF","CDG","LHR","DL"
"d0f56494-551a-42e9-b109-c8b24d87c1f2","AF","CDG","SZX",""
"cb03ad2e-1a66-42bf-89c1-5643efa7aa30","AF","CDG","HKG","IB,DL"
"d3a35800-babe-467d-84b4-5542ba5f596c","AF","CDG","SVO","FR"
"436e2ccd-b156-42fa-9a5e-0b209b1e5127","AF","CDG","MAD","FR,KL"
"04c1398f-78b0-4359-bbdf-be07ae11d060","AF","CDG","MEX","BA,KL"
"3c6fc775-25cc-45aa-b7a0-6852539cc721","AF","CDG","SYD","IB"
"f06d2e6c-2508-4bd4-9184-a066514ec3f4","AF","CDG","XIY",""
"699eba0a-7e4f-486b-8fd7-a03fed4dcf28","AF","CDG","CGK",""
"b2d8e781-cb59-41cc-b6cc-a669df9c8d27","AF","CDG","AMS","DL,U2"
"ad8a657a-c0e2-4728-961a-d1767ce479e3","AF","CDG","ATL","IB,BA"
"39da2326-59fd-4d0a-bff0-4045762fa257","AF","CDG","TPE","V7"
"2b99ad83-908b-4880-9e44-283371514277","AF","CDG","SFO","IB,EK"
"e8cd27de-d2d8-48c2-801e-ced1117281de","AF","CDG","MCO","V7"
"84d3f858-fa0f-469c-ba5a-318a6094a283","AF","CDG","FRA","BA"
"037faf52-ccbd-4017-97d2-72d0804d3482","AF","CDG","YYZ",""
"0df5ae7a-91ba-47af-86a2-305a531e1201","AF","JFK","BKK","LH,DL"
"47d9c31f-90c2-4518-8a56-a674de7cb377","AF","JFK","NRT","V7"
"8df7bcf5-25ed-4f84-9f27-5f5332e44b4c","AF","JFK","DFW",""
"770c951f-3810-499b-b559-3a1af9eb113e","AF","JFK","LAS","DL"
"1e223f36-cd0b-4c69-bd90-93dc732e16c0","AF","JFK","LHR",""
"03814f47-f77f-4cdc-b619-93921722acd8","AF","JFK","SZX","KL,DL"
"ab1d1c7b-ca3e-4838-a249-4b13e035e1e6","AF","JFK","HKG","DL"
"19453dfb-723e-4d8c-aa3d-9800365a0108","AF","JFK","SVO","DL,U2"
"aa9bacf2-6b85-4942-9fc9-e8f15b01fd02","AF","JFK","MAD",""
"d215789d-18eb-4fd1-a56b-ccd205802903","AF","JFK","MEX","DL"
"21eab383-403a-4618-b317-f6c5ee04a67d","AF","JFK","SYD",""
"690cebcb-3c4e-44e7-8702-699672a02a49","AF","JFK","XIY","LH"
"54b06aa4-916e-4cbb-b3b6-863a2b3b70b6","AF","JFK","CGK",""
"60a64748-c70f-4a21-a895-474f992920d4","AF","JFK","AMS","FR"
"07b9494b-2810-4a5c-9af2-e1a35ba31b79","AF","JFK","ATL",""
"3ff618f5-f6f1-43cc-a55d-cbc9bb01f34b","AF","JFK","TPE","LH"
"d1e74cfb-75ee-4731-8c6d-42d5f13751d5","AF","JFK","SFO","KL,LH"
"2299e268-5d01-4d7b-a550-cfeea6f1c93c","AF","JFK","MCO",""
"838f15b3-cf59-4862-887d-e3a0a3c11a71","AF","JFK","FRA","KL,IB"
"2a5f6239-4306-41a5-bda3-53862268ad64","AF","JFK","YYZ",""
"414a76e9-f4fa-408f-99b0-fba483e09cb4","AF","CAN","BKK","BA"
"faf87ef8-844f-43ad-81c0-c0481f506ff7","AF","CAN","NRT","EK,FR"
"2e873093-298e-45c0-80d6-55169e8b7141","AF","CAN","DFW","U2,FR"
"c531e73b-9aae-468e-86d1-ed8b9ec69bbb","AF","CAN","LAS","DL,FR"
"37c69bfd-b6b4-405e-8c2f-2322239eb80b","AF","CAN","LHR",""
"5283d310-2dd3-4e11-8bef-6b35e4bd93b2","AF","CAN","SZX",""
"ad4d9662-f5e2-43f6-a83c-e383360a4f25","AF","CAN","HKG","FR"
"5f3dfcd1-63f2-4060-9ae7-c555142b3539","AF","CAN","SVO",""
"0bacdbd5-b1ad-418d-a056-223fd7fd9040","AF","CAN","MAD","FR,EK"
"dde3f529-a406-483b-8810-4237d703019c","AF","CAN","MEX","U2"
"279e2445-a01c-4781-a59c-b18756977a67","AF","CAN","SYD","U2,LH"
"e7631be5-4912-4fb0-bc34-52ca9deb71cc","AF","CAN","XIY",""
"2ededd2d-b45c-4fba-bd31-91fc4f51a1de","AF","CAN","CGK","V7,DL"
"b86c71b5-a195-4420-b7e9-ff806bf4e072","AF","CAN","AMS",""
"bf280dcb-7f79-48e2-a2f6-b6ad0f4d7af9","AF","CAN","ATL","LH,KL"
"5509c64c-7e53-4909-a63d-a1565672fae4","AF","CAN","TPE","BA,U2"
"b18dfd33-67a1-4e6f-b318-174c7dbc9c4c","AF","CAN","SFO","V7"
"b876d085-5ff5-4299-b4cc-2dc55a1fc9e1","AF","CAN","MCO","EK"
"9c246f46-1931-4187-a87b-0eced7888726","AF","CAN","FRA","DL,LH"
"c74f8257-ea33-4dd5-8852-d2fd6d74f10b","AF","CAN","YYZ","V7"
"1ac4cb3a-6241-42a0-bc52-1e8901d997cb","AF","MUC","BKK","FR"
"04769d3b-6df4-43f7-8a0c-bccb8d8bddd0","AF","MUC","NRT","U2,KL"
"518f0995-e35b-42cf-b6c2-10f154867661","AF","MUC","DFW",""
"67ec3255-ed9c-44ef-8d5c-5951586767e6","AF","MUC","LAS","BA,U2"
"a3fa0e0d-5dea-4de2-9a80-40e90bdbac45","AF","MUC","LHR","LH,FR"
"dc2f4b8b-3615-4382-8ef2-b544f39828ed","AF","MUC","SZX","V7"
"ea129afe-eeab-4982-999a-0f0129f250dc","AF","MUC","HKG","EK,IB"
"0a6d47a5-3d60-4024-8798-611c9b070d7f","AF","MUC","SVO","BA"
"95dc6c6c-8269-47fb-ada9-db430664cf12","AF","MUC","MAD","FR,DL"
"6a930a21-dab9-4050-8cf8-593a6aa1f195","AF","MUC","MEX","U2"
"ef06f3fe-6ff8-4bcc-91e6-bec222b9586a","AF","MUC","SYD","EK,FR"
"3b03f167-b449-45f5-9a61-7c60bd2f80d7","AF","MUC","XIY",""
"b4ab09c0-0318-45dc-aea6-12e83ceda9df","AF","MUC","CGK","KL"
"7bc9dacc-6443-492b-b495-5d3d5de0b311","AF","MUC","AMS",""
"475e2c71-0bcf-4f31-ac38-74b50e46012c","AF","MUC","ATL","U2,EK"
"fa81139e-9b67-42fb-8829-5dfa1c8f732a","AF","MUC","TPE","V7"
"ca3cb824-2f2f-49c7-8355-d9cea4b3ce14","AF","MUC","SFO","BA,DL"
"39836274-5fd4-49fe-b5d9-120264f313b5","AF","MUC","MCO","V7"
"708d5f9f-d29e-493c-afb2-76f938cdcb84","AF","MUC","FRA",""
"475d2d39-9d59-425f-b108-d7634d470fcd","AF","MUC","YYZ","IB"
"5ee87e8f-e632-4698-8055-a75c6742fbcc","AF","LGW","BKK","IB,U2"
"6ecc19d2-de75-4e20-b67f-d7ae7901a723","AF","LGW","NRT","V7"
"e153d569-ce92-40aa-ab93-bf2af179ceb0","AF","LGW","DFW","V7"
"13ae26f7-5661-4858-bc7b-c3720671c2bf","AF","LGW","LAS","DL"
"58adb325-ba2e-407d-baf3-8ce8b153550e","AF","LGW","LHR","U2"
"c72649b1-9153-4ba6-9b05-7fe8bf2431c5","AF","LGW","SZX","KL"
"f41856c8-1108-4773-b305-f659d4b8129b","AF","LGW","HKG","EK,DL"
"e4f2677d-e27d-4989-8d43-9c7b6bddeb57","AF","LGW","SVO","IB,LH"
"8244daaf-43a4-4ea5-91e8-2c8b06ce64eb","AF","LGW","MAD","BA"
"76567ba0-a92e-4842-b617-38496ca6145f","AF","LGW","MEX","KL,FR"
"a9ee88ea-7d65-4d57-9b52-8163ffa7668b","AF","LGW","SYD","LH"
"e685ec9b-b28c-46dd-afab-04d0c9dab5a8","AF","LGW","XIY",""
"c06f1925-b6d9-4057-a089-544bd6e7fbd2","AF","LGW","CGK","FR,V7"
"e8a1cb89-afbc-4f1a-8500-083ca5423091","AF","LGW","AMS",""
"301b01c7-fc56-40a6-892d-a4e258b02624","AF","LGW","ATL",""
"b0a57928-880b-4f4a-bdeb-8a0d8d8b4087","AF","LGW","TPE","EK,DL"
"e4d29e07-21a1-4421-b852-59c101c8e62d","AF","LGW","SFO","LH"
"3e6de9c6-f87a-409b-99cd-a3a2a396e538","AF","LGW","MCO","LH,DL"
"fbb8e86d-f670-4244-93e2-f15a77e168fe","AF","LGW","FRA",""
"0ebab95d-e464-4a2c-974a-0fc63c5adc36","AF","LGW","YYZ","EK"
"8f68c68a-f549-47f4-b5f0-5a6ebe09c301","AF","ICN","BKK","BA"
"fbd8f0b0-1904-4fa1-89dd-7c1892a6f263","AF","ICN","NRT","U2"
"2d5ac4b6-1de5-408d-b662-47c2afe5640e","AF","ICN","DFW","BA,KL"
"d93426c6-08a9-4b78-b4ef-84ef4c528ca6","AF","ICN","LAS",""
"31cc3817-bc24-4425-a70d-abb0a4d9d95d","AF","ICN","LHR",""
"a1586aef-97fc-4589-ae77-0fa8df87c88d","AF","ICN","SZX","KL,LH"
"a92efc0a-9ea4-4c5a-8509-f9c93dc9af2c","AF","ICN","HKG","IB,U2"
"f8f0808f-1363-432e-8302-ee981afa4236","AF","ICN","SVO","LH"
"11be1da1-6b2e-4a8d-b4fd-38d936af2a56","AF","ICN","MAD",""
"db90ce6b-de34-49aa-a943-04fe9a977014","AF","ICN","MEX","EK,LH"
"a26c82ae-71dd-4d9d-b72c-c099d015a7ad","AF","ICN","SYD","EK"
"89b67d13-2500-4a84-b85c-7f1d7debf207","AF","ICN","XIY","U2,KL"
"e6bbb10f-7763-4fe3-b539-388e2d23053d","AF","ICN","CGK","KL"
"53e48ba5-c885-434c-bb42-99164c4af3c0","AF","ICN","AMS","BA,FR"
"f6f957d0-7ac0-449b-8663-3ceacdcbc23e","AF","ICN","ATL","KL"
"b5a3b7b8-c5cd-40dd-a1b3-de8ee683cad7","AF","ICN","TPE",""
"d392c150-afff-4e10-96c6-5a120bba1ca5","AF","ICN","SFO",""
"f7c0f93c-533d-4405-b23e-e2fbdb36cb1f","AF","ICN","MCO","U2"
"17a3ba33-4a89-427c-8c36-e5ac64d9eddc","AF","ICN","FRA","U2,KL"
"9ff927c2-dd04-45ec-951e-70089ca5c337","AF","ICN","YYZ",""
"834dfd73-3cd9-4c5b-bb0e-a310bd36fd77","AF","BCN","BKK","LH,U2"
"1dba6532-221e-4ca2-ab94-810428dfd394","AF","BCN","NRT",""
"216ab915-5515-4b24-9fdb-0df78da5e1c5","AF","BCN","DFW","KL,U2"
"bd166116-d160-4e4d-8085-90988a4c60ef","AF","BCN","LAS","U2,EK"
"b0463c96-94d0-4902-afc1-aa817d2e22d5","AF","BCN","LHR","EK"
"26d75601-279a-4b70-a9b9-7c936a8cb6c0","AF","BCN","SZX","U2"
"c72c9407-f2a2-48dd-8abf-8b35080195b2","AF","BCN","HKG","KL"
"45821d0c-ef0e-4651-af77-32db03643bbc","AF","BCN","SVO","EK,V7"
"5a13d429-8515-4355-b591-0bc779ac89be","AF","BCN","MAD","IB,FR"
"6d897ffe-3a5a-4456-83c2-60176b718347","AF","BCN","MEX","KL,FR"
"e4297f20-5c9a-4362-84a8-359ba95cb419","AF","BCN","SYD","FR,BA"
"a9fe2dd0-d993-4ebf-a6ad-47462cac825e","AF","BCN","XIY","KL,EK"
"9d2ce978-007c-4277-a034-4ae6b535eb8e","AF","BCN","CGK","KL,BA"
"43dbc8e3-baf2-49d0-9535-7a68e43628fa","AF","BCN","AMS","KL,EK"
"79fc86db-a11c-42e4-9272-ff6241bbfbf4","AF","BCN","ATL",""
"c4228f45-4a56-40aa-944d-40962d36fe26","AF","BCN","TPE","EK"
"b9547b7f-ecb8-474d-998d-dbb69e761010","AF","BCN","SFO","FR"
"14429679-e5aa-4e91-88de-50069ba51090","AF","BCN","MCO","U2"
"907edbf5-7c75-4f34-80b1-cfd9612002e0","AF","BCN","FRA","LH,KL"
"3ad0f771-5b89-4aee-8059-bee8834490d0","AF","BCN","YYZ",""
"420e9881-2191-4f1e-8f02-3b016b95bbd0","AF","CTU","BKK",""
"0df0753f-b03b-4b0c-ae80-eaa4bf66b441","AF","CTU","NRT","DL"
"2ae0e13d-c5b9-4e71-8e14-f69ba9579617","AF","CTU","DFW",""
"820ba3b8-d491-4eff-8313-2a5b9e1a91b0","AF","CTU","LAS",""
"bc83296c-02b2-4520-97a4-59e490e058d6","AF","CTU","LHR","BA,KL"
"dad6155d-660a-4526-b29a-d37b2aae3756","AF","CTU","SZX",""
